"CheckId","Title","Category","Service","MaxScore","UserImpact","ImplementationStatus","LicenseRequired","Remediation"
"AATP_AccountsInOperatorGroups","Locate accounts in built-in Operator Groups",,"Azure ATP","8","high",,"M365 Standard-Lizenz","1. Review the exposed accounts and groups with membership in built-in operator groups.  2. Remove them from the Operator group directly in Active Directory.  3. If the membership is through a nested group, either remove the account from the nested group or remove the nested group from the operator group."
"AATP_AccountsWithNonDefaultPrimaryGroup","Accounts with non-default Primary Group ID",,"Azure ATP","5","Low",,"M365 Standard-Lizenz","1. Review the list of exposed entities to discover which of your accounts have a suspicious primaryGroupId.   2. Take appropriate action on those accounts by resetting their attribute to their default values or adding the member to the relevant group:  - user accounts: 513 (Domain Users) or 514 (Domain Guests)  - computer accounts: 515 (Domain Computers)  - domain controller accounts: 516 (Domain Controllers)  - read-only domain controller (RODC) accounts: 521 (Read-only Domain Controllers).   To achieve the full score, remediate all exposed entities."
"AATP_AccountWithLeakedCredentials","Change password for accounts with leaked credentials",,"AzureAD","5","high",,"M365 Standard-Lizenz","It is recommended to Enable Microsoft Entra ID Identity Protection user risk policies to automatically require users to change passwords when their credentials are leaked.  		Alternatively, you can follow the steps below to change password for individual users. 		1. Sign in to the Admin Center: 		Sign in to the Microsoft Entra Admin Center (entra.microsoft.com) with an administrator account. 		2. Navigate to Users: 		Select ""Users"" from the left-hand navigation menu. 		3. Select the User Account: 		Find and select the user account that needs a password change. 		4. Reset Password: 		Click on ""Reset password"" and choose whether to auto-generate a password or manually set a new password."
"AATP_AdAccountWithPotentiallyLeakedCredentials","Change password for on-prem account with potentially leaked credentials",,"Azure ATP","5","high",,"M365 Standard-Lizenz","1. Sign in to the Admin Console:     Open the Active Directory Users and Computers (ADUC) console using an administrator account.     2. Navigate to Users:     In ADUC: Navigate to the organizational unit (OU) where the user account is located.     3. Select the User Account:     Find and select the user account that needs a password change.     4. Reset Password:     Right-click on the user account, select ""Reset Password,"" enter the new password, and confirm it."
"AATP_ADCSCertificateTemplateArbitraryAppPolicies","Prevent Certificate Enrollment with arbitrary Application Policies (ESC15)",,"Azure ATP","5","High",,"M365 Standard-Lizenz","1. Identify the vulnerable certificate templates:-Remove enrollment permission for unprivileged users.-Disable the “Supply in the request” option.2. Identify the AD CS servers which are vulnerable to CVE-2024-49019 and apply the relevant patch."
"AATP_ADCSCertificateTemplateEnrolementSuppliesSubject","Prevent users to request a certificate valid for arbitrary users based on the certificate template (ESC1)",,"Azure ATP","5","high",,"M365 Standard-Lizenz","Identify the vulnerable certificate template. Perform at least one of the following possible remediations: 1. Disable the “Supply in the request” configuration. 2. Remove EKU’s enabling user authentication (e.g Client Authentication). 3.Remove overly permissive enrollment permissions, which allows any user to enroll certificate based on that certificate template. 4.Enable “CA certificate manager approval” requirement."
"AATP_AdcsComputersWithNoMdiSensorInstalled","Install Defender for Identity Sensor on ADCS servers ",,"Azure ATP","4","Low",,"M365 Standard-Lizenz","Go to the sensor page  in Settings, you can view the already installed sensors in your environment and download the install package to deploy them on your remaining servers.For more details, see Configure sensors for AD FS, AD CS, and Microsoft Entra Connect .You will be scored as a percentage of your deployment progress."
"AATP_ADCSInsecureCertificateEnrollmentIisEndpoints","Edit insecure certificate enrollment IIS endpoints (ESC8)",,"Azure ATP","5","medium",,"M365 Standard-Lizenz","For each endpoint, follow these steps: 1. Determine whether the endpoint is necessary and in regular use. If it is not used, it is advisable to disable it. 2. Deactivate NTLM and Negotiate authentication providers for the IIS endpoint. 3. If NTLM cannot be disabled, enable ""Require SSL"" and ""Require Extended Protection"" for the IIS endpoint.For more information, please refer to the security advisory in the ""Learn More"" section."
"AATP_ADCSMisconfiguredCertificateAuthorityAcl","Edit misconfigured Certificate Authority ACL (ESC7)",,"Azure ATP","5","high",,"M365 Standard-Lizenz","Identify the misconfigured ACL entry (for example - “Manage CA” permission granted to the “authenticated users” built-in group) and remove any unnecessary permissions granting built-in groups “Mange CA” or/and “Manage certificates” permissions."
"AATP_ADCSMisconfiguredCertificateTemplateAcl","Edit misconfigured certificate templates ACL (ESC4)",,"Azure ATP","5","high",,"M365 Standard-Lizenz","Identify the vulnerable certificate template, and remove overly permissive modifications permissions (e.g. WriteProperty), which allows any user to change the settings of that certificate template."
"AATP_ADCSMisconfiguredCertificateTemplateEku","Edit overly permissive Certificate Template with privileged EKU (Any purpose EKU or No EKU) (ESC2)",,"Azure ATP","5","medium",,"M365 Standard-Lizenz","Identify the vulnerable certificate template. Perform at least one of the following possible remediations: 1.Remove EKU’s enabling arbitrary usage (e.g. Any purpose). 2.Remove overly permissive enrollment permissions, which allows any user to enroll certificate based on that certificate template. 3.Enable “CA certificate manager approval” requirement."
"AATP_ADCSMisconfiguredCertificateTemplateEnrollmentAgent","Edit misconfigured enrollment agent certificate template (ESC3)",,"Azure ATP","5","high",,"M365 Standard-Lizenz","Identify the vulnerable certificate template. Perform at least one of the following possible remediations: 1.Remove enrollment agent EKU. 2.Remove overly permissive enrollment permissions, which allows any user to enroll certificate based on that certificate template. 3.Enable “CA certificate manager approval” requirement."
"AATP_ADCSMisconfiguredCertificateTemplateOwner","Edit misconfigured certificate templates owner (ESC4)",,"Azure ATP","5","high",,"M365 Standard-Lizenz","Edit misconfigured certificate templates owner (ESC4)"
"AATP_ADCSMisconfiguredRpcEnrollmentSigning","Enforce encryption for RPC certificate enrollment interface (ESC11)",,"Azure ATP","5","medium",,"M365 Standard-Lizenz","To require packet encryption for RPC enrollment, execute the following command and then restart the certsvc service: certutil -setreg CA\InterfaceFlags +IF_ENFORCEENCRYPTICERTREQUEST net stop certsvc & net start certsvc"
"AATP_ADCSSanSpecifiedByUserEnabled","Edit vulnerable Certificate Authority setting (ESC6)",,"Azure ATP","5","high",,"M365 Standard-Lizenz","To disable “user specifying SAN” setting, execute the following command and then restart the certsvc service: certutil -setreg policy\EditFlags -EDITF_ATTRIBUTESUBJECTALTNAME2 net stop certsvc & net start certsvc"
"AATP_AdfsComputersWithNoMdiSensorInstalled","Install Defender for Identity Sensor on ADFS servers ",,"Azure ATP","4","Low",,"M365 Standard-Lizenz","Go to the sensor page  in Settings, you can view the already installed sensors in your environment and download the install package to deploy them on your remaining servers.For more details, see Configure sensors for AD FS, AD CS, and Microsoft Entra Connect .You will be scored as a percentage of your deployment progress."
"AATP_AdminSDHolder","Remove access rights on suspicious accounts with the Admin SDHolder permission",,"Azure ATP","5","low",,"M365 Standard-Lizenz","1. Review the list of exposed entities to discover which of your non-sensitive accounts have the Admin SDHolder permission. 2. Take appropriate action on those entities by removing their privileged access rights. To achieve the full score, remediate all exposed entities."
"AATP_AzureSsoAccountOldPasswords","Change password for Entra seamless SSO account",,"Azure ATP","5","high",,"M365 Standard-Lizenz","For each account, follow these steps:  1.Review this list of exposed entities to discover which of your accounts have an old password. 2.Take appropriate action on those entities by following the steps described here: https://aka.ms/RollOverAzureadssoAccount."
"AATP_BuiltinAdministratorAccountWithOldPassword","Change password of built-in domain Administrator account",,"Azure ATP","5","Low",,"M365 Standard-Lizenz","1. Review the list of exposed entities to discover which of your built-in domain Administrator accounts have an old password. 2. Take appropriate action on those accounts by resetting their password.To achieve the full score, remediate all exposed entities."
"AATP_BuiltinGuestAccountIsEnabled","Built-in Active Directory Guest account is enabled",,"Azure ATP","5","Medium",,"M365 Standard-Lizenz","1. Review the list of exposed entities to discover if there is a Guest account which is enabled.  2. Take appropriate action on those accounts by disabling the account."
"AATP_BuiltinKrbtgtAccountWithOldPassword","Change password for krbtgt account",,"Azure ATP","5","High",,"M365 Standard-Lizenz","1. Review the list of exposed entities to discover which of your krbtgt accounts have an old password.2. Take appropriate action on those accounts by resetting their password twice to invalidate the Golden Ticket attack. To achieve the full score, remediate all exposed entities."
"AATP_ClearText","Stop clear text credentials exposure",,"Azure ATP","5","low",,"M365 Standard-Lizenz","1. Review this security control list of exposed entities.  2. Research why those entities are using LDAP in clear text.  3. Remediate the issues and stop the exposure.  4. After confirming remediation, we recommend you configure the requirement of domain controller level LDAP signing.  To achieve a full score, you must remediate all exposed entities."
"AATP_CyberArk_DormantPriviledgedAccounts","Remove stale CyberArk Identity privileged accounts",,"Azure ATP","5","Medium",,"M365 Standard-Lizenz","1.Review the list of exposed entities to discover which of your CyberArk Identity privileged user accounts have not been used for an extended period.     2.If the account is no longer required, deactivate or remove it to eliminate unnecessary exposure."
"AATP_CyberArk_HighNumberOfPriviledgedIdentityAccounts","High number of CyberArk Identity accounts with a privileged role assigned",,"Azure ATP","5","Medium",,"M365 Standard-Lizenz","1. Reduce the number of users assigned to other Admin roles to meet the recommended best practices and ensure better control."
"AATP_CyberArk_HighNumberOfSystemAdmins","Limit the number of CyberArk Identity accounts with system admin role",,"Azure ATP","5","Medium",,"M365 Standard-Lizenz","1. Reduce the number of System Admin accounts to meet recommended best practices and ensure better control."
"AATP_CyberArk_PriviledgedUserAccountsWithOldPasswords","Change password for CyberArk Identity  privileged User accounts ",,"Azure ATP","6","Medium",,"M365 Standard-Lizenz","1. Review the list of exposed entities to discover which of your CyberArk Identity privileged user accounts have an old password.      2. Take appropriate action on those accounts by resetting their password."
"AATP_DefenderForIdentityIsNotInstalled","Start your Defender for Identity deployment, installing Sensors on Domain Controllers and other eligible servers.",,"Azure ATP","5","low",,"M365 Standard-Lizenz","Go to the activation page in Settings, where you can view the discovered servers recommended for onboarding to the Defender for Identity new sensor. To see the sensors already installed in your environment, go to the sensor page.  You will be scored as a percentage of your deployment progress."
"AATP_DnsAdminsGroupWithUnsafePermissions","Unsafe permissions on the DnsAdmins group",,"Azure ATP","8","high",,"M365 Standard-Lizenz","1. Review the list of exposed entities to identify non-privileged accounts with risky permissions. 2. Take appropriate action on those accounts by removing the accounts from the DnsAdmins group. If some accounts require these permissions, grant them only the specific access needed. To achieve the full score, remediate all exposed entities."
"AATP_DomainControllerLocalUsers","Remove local admins on identity assets",,"Azure ATP","5","high",,"M365 Standard-Lizenz","1. Review this list of exposed entities to discover which of your accounts have local admin rights on your identity assets. 2. Take appropriate action on those entities by removing their privileged access rights. To achieve the full score, remediate all exposed entities."
"AATP_DomainControllersWithOldPassword","Change Domain Controller computer account old password",,"Azure ATP","5","Medium",,"M365 Standard-Lizenz","1. Verify Registry Values:  HKLM\System\CurrentControlSet\Services\Netlogon\Parameters\DisablePasswordChange is set to 0 or is nonexistent.  HKLM\System\CurrentControlSet\Services\Netlogon\Parameters\MaximumPasswordAge is set to 30.  2. Reset Incorrect Values: Reset any incorrect values to their default settings.   Check Group Policy Objects (GPOs) to ensure they do not override these settings.  3. If these values are correct, check if the NETLOGON service is started with sc.exe query netlogon.  4. Validate Password Synchronization by Running nltest /SC_VERIFY: (with DomainName being the domain NetBIOS name) can check the synchronization status and should display0 0x0 NERR_Success for both verifications."
"AATP_DormantAccounts","Remove dormant accounts from sensitive groups",,"Azure ATP","5","low",,"M365 Standard-Lizenz","1. Review this security control list of exposed entities to discover which of your sensitive accounts are dormant.. 2. Take appropriate action on those entities by removing their privileged access rights or by deleting the account.  To achieve a full score, you must remediate all exposed entities."
"AATP_EntraConnectAccountsOldPasswords","Rotate password for Entra Connect AD DS Connector account",,"Azure ATP","3","high",,"M365 Standard-Lizenz","1. Review the list of exposed entities to discover which of your AD DS Connector accounts have a password more than 90 days old. 2. Take appropriate action on those accounts by following the steps described here: https://aka.ms/EntraIdPasswordChangeSyncService"
"AATP_EntraConnectAccountsWithConnectorAccountAsDefaultAdmin","Replace Enterprise or Domain Admin account for Entra Connect AD DS Connector account",,"Azure ATP","3","Low",,"M365 Standard-Lizenz","1. Review the exposed account and their group memberships. The list contains members of Domain/Enterprise Admins through direct and recursive membership. 2. Perform one of the following actions:   a. Remove the user from privileged groups, ensuring it retains the necessary permissions to function as the Entra Connect Connector account.  b. Change the Entra Connect AD DS Connector account."
"AATP_EntraConnectAccountUnnecessaryReplicationPermission","Remove unnecessary replication permissions for Entra Connect AD DS Connector Account",,"Azure ATP","8","high",,"M365 Standard-Lizenz","1. Review the list of exposed entities to discover which of your AD DS Connector accounts have replication permissions. 2. Take appropriate action on those accounts by removing their 'Replication Directory Changes' and 'Replication Directory Changes All' permissions.  For environments with multiple Entra Connect servers, it’s crucial to install sensors on each server to ensure Microsoft Defender for Identity can fully monitor your setup. It has been detected that your Entra Connect configuration does not utilize Password Hash Sync (PHS), which means that replication permissions are not necessary for the accounts in the Exposed Entities list."
"AATP_EntraConnectComputersWithNoMdiSensorInstalled","Install Defender for Identity Sensor on Entra Connect servers",,"Azure ATP","4","Low",,"M365 Standard-Lizenz","Go to the sensor page  in Settings, you can view the already installed sensors in your environment and download the install package to deploy them on your remaining servers.For more details, see Configure sensors for AD FS, AD CS, and Microsoft Entra Connect .You will be scored as a percentage of your deployment progress."
"AATP_EntraConnectSensitiveAccountsWithUnsafePermissions","Remove unsafe permissions on sensitive Entra Connect accounts",,"Azure ATP","9","Low",,"M365 Standard-Lizenz","1. Review the list of exposed entities to identify accounts with unsafe permissions. 2. Remove problematic permissions that allows unprivileged accounts to takeover critical hybrid assets. To achieve the full score, remediate all exposed entities."
"AATP_ExposedPasswordsInADAttributes","Remove discoverable passwords in Active Directory account attributes",,"Azure ATP","8","High",,"M365 Standard-Lizenz","1. Review the exposed entries in the security report. Identify any field content that includes:    a. Cleartext passwords.    b. Reset instructions or credential clues    c. Sensitive business or system information2. Remove any sensitive information from the listed attribute fields using standard directory management tools (e.g., PowerShell, ADSI Edit).3. Change the account password."
"AATP_GroupManagedServiceAccountWithUnrecommendedPasswordChangeInterval","Set a valid password rotation interval for gMSA",,"Azure ATP","6","Medium",,"M365 Standard-Lizenz","To update the password change interval for a Group Managed Service Account (gMSA), you'll need to create a new gMSA with the desired interval, as the interval can only be set during creation.Here's a quick overview of the steps:  1. Create a KDS Root Key(if not already created)  2. Create the new gMSA with the desired password change interval of 45 days  3. Install the new gMSA on the target machine  4. Verify the new gMSA"
"AATP_GroupPolicyAbnormalModificationAssignment","GPO can be modified by unprivileged accounts",,"Azure ATP","5","high",,"M365 Standard-Lizenz","Carefully review each assigned permission, identify any dangerous permission granted, and modify them to remove any unnecessary or excessive user rights. For more information, please refer to the security advisory in the ""Learn More"" section."
"AATP_GroupPolicyAssignsUnprivilegedIdentitiesToElevatedLocalGroups","GPO assigns unprivileged identities to local groups with elevated privileges",,"Azure ATP","7","high",,"M365 Standard-Lizenz","Carefully review each assigned group membership, identify any dangerous group membership granted, and modify the GPO to remove any unnecessary or excessive user rights."
"AATP_GroupPolicyPasswordInPreferences","Reversible passwords found in GPOs",,"Azure ATP","8","high",,"M365 Standard-Lizenz","In order to remove the preferences that contain passwords data, use Group Policy Management Console (GPMC) on a domain controller or from a client that has Remote Server Administration Tools (RSAT) installed. You can remove any preference following these steps: 1.In GPMC, open the Group Policy reported in the Exposed entities tab. 2.Navigate to the preference configuration that contains password data and delete the object. Click Apply and OK to save your changes. 3.Wait a Group Policy refresh cycle to allow changes to propagate to clients (usually up to 120 minutes) 4.After changes are applied to all clients, delete the preference. 5.Repeat steps 1 through 5 as needed to clean your whole environment. For more information, please refer to the security advisory in the ""Learn More"" section."
"AATP_HoneyToken","Set a honeytoken account",,"Azure ATP","1","low",,"M365 Standard-Lizenz","Go to the  Honeytoken Settings page and set at least one honeytoken account.​"
"AATP_InactiveServiceAccounts","Remove stale service accounts",,"Azure ATP","5","Low",,"M365 Standard-Lizenz","1. Disable the account: Prevent any usage by disabling the account.      2. Monitor for impact: Wait several weeks and monitor for any operational issues (e.g., service failures, errors).      3. Delete the account: If no issues are reported, proceed with deletion."
"AATP_KerberosDelegations","Modify unsecure Kerberos delegations to prevent impersonation",,"Azure ATP","5","low",,"M365 Standard-Lizenz","1. Review this security control list of exposed entities to discover which of your non-domain controller entities are configured for unsecure Kerberos delegation.  2. Take appropriate action on those at-risk users, such as removing their unconstrained attribute or changing it to a more secure constrained delegation.  To achieve a full score, you must remediate all exposed entities."
"AATP_NonAdminDCSyncAccounts","Remove non-admin accounts with DCSync permissions ",,"Azure ATP","5","high",,"M365 Standard-Lizenz","1. Review this list of exposed entities to discover which of your accounts have DCSync permissions and are also non-domain admins. 2. Take appropriate action on those entities by removing their privileged access rights. To achieve the full score, remediate all exposed entities."
"AATP_Okta_Dormant","Remove dormant Okta privileged accounts",,"Azure ATP","5","High",,"M365 Standard-Lizenz","1. Review the list of exposed entities to discover which of your Okta privileged user accounts have not been used for an extended period. 2. If the account is no longer required, deactivate or remove it to eliminate unnecessary exposure. To achieve a full score, you must remediate all exposed entities."
"AATP_Okta_HighNumberOfNonSuperAdminPrivilegedUserAccounts","High number of Okta accounts with privileged role assigned",,"Azure ATP","5","High",,"M365 Standard-Lizenz","Reduce the number of users assigned to other Administrator role to meet recommended best practices and ensure better control."
"AATP_Okta_HighNumberOfSuperAdmins","Limit the Number of Okta Super Admins Accounts",,"Azure ATP","5","High",,"M365 Standard-Lizenz","1. Reduce the number of super admin accounts."
"AATP_Okta_SensitiveAccountWithOldPassword","Change password for Okta privileged User accounts",,"Azure ATP","6","Medium",,"M365 Standard-Lizenz","1. Review the list of exposed entities to discover which of your Okta privileged user accounts have an old password. 2. Take appropriate action on those accounts by resetting their password."
"AATP_Okta_SensitiveAccountWithoutFactorsAssigned","Assign multi-factor authentication for Okta privileged user accounts",,"Azure ATP","5","Low",,"M365 Standard-Lizenz","1. Review the list of exposed entities to discover which of your Okta privileged user accounts do not have any MFA method assigned. 2. Assign and enforce a multi-factor authentication (MFA) method to the privileged accounts."
"AATP_Okta_SensitiveApiToken","Highly Privileged Okta Api Token",,"Azure ATP","5","High",,"M365 Standard-Lizenz","1. Review the list of privileged Okta API tokens. 2. Remove unused API tokens."
"AATP_PathRisk","Reduce lateral movement path risk to sensitive entities",,"Azure ATP","5","low",,"M365 Standard-Lizenz","Review this security control list of exposed entities displaying sensitive entities with lateral movement paths risk with recommended actions on how to reduce the number of non-sensitive accounts for each path.  To achieve a full score, you must remediate all exposed entities."
"AATP_Ping_Dormant","Remove stale PingOne privileged accounts",,"Azure ATP","5","High",,"M365 Standard-Lizenz","1. Review the list of exposed entities to discover which of your PingOne privileged user accounts have not been used for an extended period. 2. If the account is no longer required, deactivate or remove it to eliminate unnecessary exposure. To achieve a full score, you must remediate all exposed entities."
"AATP_Ping_HighNumberOfNonSuperAdminPrivilegedUserAccounts","High number of PingOne accounts with a privileged role assigned",,"Azure ATP","5","High",,"M365 Standard-Lizenz","1. Reduce the number of users assigned to other Admin roles to meet the recommended best practices and ensure better control."
"AATP_Ping_HighNumberOfSuperAdmins","Limit the number of PingOne accounts with organization admin role",,"Azure ATP","5","High",,"M365 Standard-Lizenz","1. Reduce the number of users assigned to Organization Admin role to meet the recommended best practices and ensure better control."
"AATP_Ping_SensitiveAccountWithOldPassword","Change password for PingOne privileged User accounts",,"Azure ATP","6","Medium",,"M365 Standard-Lizenz","1. Review the list of exposed entities to discover which of your PingOne privileged user accounts has an old password. 2. Take appropriate action on those accounts by resetting their password."
"AATP_Ping_SensitiveAccountWithoutFactorsAssigned","Assign multi-factor authentication for PingOne privileged user accounts",,"Azure ATP","5","Low",,"M365 Standard-Lizenz","1. Review the list of exposed entities to discover which of your PingOne privileged user accounts do not have any MFA method assigned. 2. Assign and enforce a multi-factor authentication (MFA) method for all the privileged accounts."
"AATP_PrintSpooler","Disable Print spooler service on domain controllers",,"Azure ATP","5","low",,"M365 Standard-Lizenz","1. Review this security control list of exposed entities to discover which of your domain controllers has the Print spooler service enabled. 2. Take appropriate action on the at-risk domain controllers and actively remove the Print spooler service either manually, through group policy or other types of remote commands.  Make sure to investigate your Print spooler settings, configurations and dependencies before disabling this service and preventing active printing workflows.  To achieve a full score, you must remediate all exposed entities."
"AATP_PrivilegedAccountsWithDelegationAllowed","Ensure privileged accounts are not delegated",,"Azure ATP","5","High",,"M365 Standard-Lizenz","1. Review the list of exposed entities to discover which of your privileged user accounts don’t have the configuration flag ""this account is sensitive and cannot be delegated"".  2. Take appropriate action on those accounts by setting the account's control flags to ""this account is sensitive and cannot be delegated"". This will prevent users from gaining access to the account and manipulating system settings.  3. For device accounts, enable ""not delegated"" setting.    To achieve the full score, remediate all exposed entities."
"AATP_PrivilegedEntraIdAndActiveDirectoryAccounts"," Identify Entra ID privileged accounts that are also privileged in Active Directory",,"Azure ATP","9","High",,"M365 Standard-Lizenz","1. Review each dual-privileged account and determine whether access is required in both environments. 2. Remove unnecessary privileges from either Entra ID or Active Directory to reduce exposure.3. Consider separating cloud and on-prem roles across different accounts or implementing just-in-time access. 4. Use Entra Privileged Identity Management (PIM) to enforce approval of workflows and limit standing access."
"AATP_PwdLAPS","Protect and manage local admin passwords with Microsoft LAPS",,"Azure ATP","5","low",,"M365 Standard-Lizenz","1. Review this security control list of domains and devices not configured for Microsoft LAPS.  2. Deploy Microsoft LAPS to actively manage the local administrator password of your devices. This is done through Active Directory along with Group Policy client- side extensions that will be installed on each Windows operating system.  To achieve a full score, you must remediate all exposed entities."
"AATP_SailPoint_DormantPriviledgedAccounts","Remove stale SailPoint privileged accounts ",,"Azure ATP","5","Medium",,"M365 Standard-Lizenz","1. Review the list of exposed entities to discover which of your SailPoint privileged user accounts have not been used for an extended period.      2. If the account is no longer required, deactivate or remove it to eliminate unnecessary exposure."
"AATP_SailPoint_HighNumberOfPriviledgedIdentityAccounts","High number of SailPoint accounts with a privileged role assigned ",,"Azure ATP","5","Medium",,"M365 Standard-Lizenz","1. Reduce the number of users assigned to other Admin roles to meet the recommended best practices and ensure better control."
"AATP_SailPoint_HighNumberOfSystemAdmins","Limit the number of SailPoint accounts with system admin role ",,"Azure ATP","5","Medium",,"M365 Standard-Lizenz","1. Reduce the number of users assigned to the System Admin role to meet the recommended best practices and ensure better control."
